time,motorStatePos_0,motorStateVel_0,motorAction_0,motorStateCur_0
1769687329.827317,-0.037584,3.898435,0.318359,0.359327
1769687329.847588,0.159922,3.963134,0.443026,0.297844
1769687329.867851,0.360112,3.997924,0.566985,0.302883
1769687329.887667,0.561837,4.041262,0.690037,0.303891
1769687329.907791,0.764330,4.068117,0.811985,0.290788
1769687329.927952,0.966438,4.061403,0.932633,0.240392
1769687329.947748,1.167779,4.057741,1.051790,0.215194
1769687329.967746,1.367969,3.946655,1.169264,0.198060
1769687329.987916,1.565092,3.965576,1.284867,0.214186
1769687330.007650,1.758379,3.834345,1.398415,0.228297
1769687330.028114,1.947065,3.727531,1.509726,0.117423
1769687330.047990,2.132298,3.679922,1.618621,0.008567
1769687330.067819,2.308328,3.489487,1.724926,0.202091
1769687330.087845,2.477837,3.331401,1.828472,-0.028726
1769687330.107858,2.641212,3.202002,1.929092,0.038805
1769687330.127772,2.795765,3.086033,2.026627,0.110367
1769687330.148139,2.942649,2.809534,2.120919,0.061987
1769687330.167630,3.078794,2.635579,2.211818,-0.082149
1769687330.187594,3.205734,2.423170,2.299178,0.130529
1769687330.207427,3.323855,2.218695,2.382859,-0.107347
1769687330.227652,3.432003,2.028871,2.462729,-0.062995
1769687330.247681,3.530181,1.889095,2.538659,-0.083157
1769687330.267982,3.618388,1.684623,2.610527,-0.047876
1769687330.287779,3.696623,1.490524,2.678218,0.090209
1769687330.307948,3.764504,1.264076,2.741625,-0.036789
1769687330.327813,3.823564,1.102939,2.800646,-0.117426
1769687330.347870,3.873420,0.916777,2.855186,-0.132545
1769687330.367943,3.914455,0.811181,2.905158,-0.058963
1769687330.387783,3.947052,0.588398,2.950482,0.070050
1769687330.407861,3.970831,0.388806,2.991086,-0.098276
1769687330.427916,3.988855,0.299082,3.026905,0.029734
1769687330.447695,3.998059,0.099490,3.057881,0.094241
1769687330.467348,3.998442,-0.074465,3.083964,0.043845
1769687330.487288,3.993457,-0.117191,3.105114,-0.015623
1769687330.507617,3.985787,-0.144048,3.121296,-0.089204
1769687330.527881,3.978117,-0.103153,3.132485,-0.150688
1769687330.547747,3.973899,-0.020753,3.138662,-0.168830
1769687330.567897,3.973132,-0.030519,3.139817,-0.145648
1769687330.587685,3.973515,0.012207,3.135949,-0.075094
1769687330.607628,3.973899,-0.034791,3.127064,-0.052916
1769687330.627973,3.973515,-0.060427,3.113177,-0.071062
1769687330.647750,3.973899,0.015259,3.094308,-0.076101
1769687330.667742,3.973515,0.022583,3.070489,-0.048884
1769687330.687505,3.973899,-0.044557,3.041758,-0.116418
1769687330.707628,3.973899,-0.007324,3.008161,-0.068038
1769687330.727849,3.973515,-0.000610,2.969751,-0.102307
1769687330.747318,3.973515,-0.034181,2.926589,-0.157743
1769687330.767360,3.973515,0.002441,2.878746,-0.146656
1769687330.787650,3.973132,-0.029298,2.826297,-0.155727
1769687330.807835,3.973132,-0.028077,2.769326,-0.181933
1769687330.828045,3.972365,-0.019532,2.707924,-0.206123
1769687330.847808,3.971214,-0.035402,2.642191,-0.224266
1769687330.867795,3.968913,-0.063479,2.572230,-0.232329
1769687330.887596,3.964695,-0.086672,2.498154,-0.213179
1769687330.908067,3.955491,-0.237434,2.420081,-0.155727
1769687330.928125,3.940533,-0.402234,2.338137,-0.211163
1769687330.948151,3.918290,-0.452895,2.252452,-0.274662
1769687330.968000,3.890294,-0.612812,2.163163,-0.227289
1769687330.988146,3.855012,-0.748924,2.070413,-0.179917
1769687331.007917,3.812826,-0.888699,1.974352,-0.273654
1769687331.027805,3.762587,-1.011384,1.875131,-0.281717
1769687331.047812,3.704293,-1.197547,1.772911,-0.185965
1769687331.068208,3.637946,-1.423993,1.667854,-0.284741
1769687331.087575,3.563163,-1.549730,1.560128,-0.318002
1769687331.107853,3.479558,-1.700492,1.449907,-0.368402
1769687331.127747,3.387516,-1.955626,1.337366,-0.304899
1769687331.147667,3.286654,-2.089908,1.222686,-0.323045
1769687331.167818,3.177355,-2.271187,1.106049,-0.408719
1769687331.187862,3.059234,-2.427442,0.987643,-0.341188
1769687331.207889,2.933061,-2.585528,0.867657,-0.450043
1769687331.227620,2.798066,-2.782677,0.746282,-0.253495
1769687331.247278,2.657319,-2.934660,0.623714,-0.294820
1769687331.267825,2.508902,-2.997528,0.500148,-0.314978
1769687331.287860,2.352432,-3.165990,0.375782,-0.225274
1769687331.307623,2.190975,-3.314310,0.250814,-0.274662
1769687331.327236,2.025300,-3.345439,0.125445,-0.408719
1769687331.347328,1.853489,-3.420515,-0.000124,-0.197052
1769687331.367536,1.677076,-3.566393,-0.125693,-0.389568
1769687331.387834,1.496827,-3.640858,-0.251062,-0.222250
1769687331.407843,1.314662,-3.669546,-0.376028,-0.301876
1769687331.427997,1.129428,-3.718375,-0.500393,-0.353283
1769687331.447445,0.943810,-3.745842,-0.623957,-0.219226
1769687331.467378,0.758959,-3.726920,-0.746524,-0.145648
1769687331.487576,0.572576,-3.704337,-0.867895,-0.299860
1769687331.507585,0.386959,-3.671987,-0.987879,-0.246440
1769687331.527674,0.202875,-3.678701,-1.106282,-0.115410
1769687331.547602,0.019942,-3.608508,-1.222914,-0.205115
1769687331.567952,-0.160690,-3.526719,-1.337591,-0.201084
1769687331.587844,-0.337103,-3.582873,-1.450127,-0.038805
1769687331.607950,-0.509297,-3.437605,-1.560344,-0.162783
1769687331.628211,-0.678807,-3.346660,-1.668064,-0.163790
1769687331.647897,-0.842948,-3.216650,-1.773115,-0.003528
1769687331.667998,-1.002871,-3.079318,-1.875330,-0.078117
1769687331.687871,-1.157424,-3.080539,-1.974545,-0.100292
1769687331.708210,-1.304307,-2.883389,-2.070600,-0.082149
1769687331.727759,-1.446972,-2.767419,-2.163343,-0.014615
1769687331.747277,-1.581199,-2.628864,-2.252625,0.023686
1769687331.767623,-1.708907,-2.481155,-2.338303,-0.129521
1769687331.787736,-1.830862,-2.342601,-2.420239,0.038805
1769687331.807814,-1.945147,-2.188177,-2.498304,0.022678
1769687331.827989,-2.051762,-2.056948,-2.572372,-0.043845
1769687331.848239,-2.151474,-1.929990,-2.642325,-0.041829
1769687331.867616,-2.242365,-1.754204,-2.708050,0.036789
1769687331.887245,-2.324436,-1.586353,-2.769443,-0.005544
1769687331.907286,-2.399603,-1.412396,-2.826405,-0.013607
1769687331.927560,-2.467484,-1.281167,-2.878845,-0.039813
1769687331.947967,-2.527311,-1.123081,-2.926679,0.112383
1769687331.967861,-2.579851,-0.975372,-2.969831,0.111375
1769687331.987923,-2.624338,-0.813624,-3.008232,0.041829
1769687332.008036,-2.661921,-0.686057,-3.041820,-0.034773
1769687332.028140,-2.691452,-0.560930,-3.070541,0.031749
1769687332.047881,-2.714462,-0.399792,-3.094350,-0.028726
1769687332.067730,-2.729035,-0.224006,-3.113209,0.062995
1769687332.087619,-2.738623,-0.184942,-3.127087,0.076098
1769687332.107939,-2.745143,-0.076296,-3.135962,0.019654
1769687332.127931,-2.745526,0.031738,-3.139820,0.045860
1769687332.147810,-2.743225,0.070193,-3.138654,0.136577
1769687332.167876,-2.742075,0.037231,-3.132467,0.145648
1769687332.187713,-2.741691,-0.011597,-3.121269,0.161775
1769687332.207756,-2.741691,-0.038453,-3.105077,0.148672
1769687332.227543,-2.741691,0.042727,-3.083917,0.148672
1769687332.247694,-2.741308,0.033569,-3.057824,0.144640
1769687332.267878,-2.741691,0.035400,-3.026839,0.158751
1769687332.287601,-2.741691,-0.015259,-2.991010,0.177901
1769687332.307604,-2.741308,0.023804,-2.950397,0.175886
1769687332.327729,-2.740541,0.050051,-2.905064,0.200076
1769687332.347877,-2.740157,-0.031739,-2.855083,0.234345
1769687332.367798,-2.739007,-0.018311,-2.800534,0.241400
1769687332.387828,-2.737089,0.062258,-2.741504,0.257527
1769687332.407877,-2.734404,0.058596,-2.678089,0.291796
1769687332.427681,-2.730953,0.051882,-2.610389,0.305907
1769687332.447187,-2.725200,0.144658,-2.538513,0.267606
1769687332.467285,-2.715613,0.255744,-2.462575,0.225274
1769687332.487582,-2.699889,0.388196,-2.382698,0.244424
1769687332.507269,-2.677645,0.479140,-2.299009,0.346224
1769687332.527264,-2.649649,0.634785,-2.211642,0.243416
1769687332.547598,-2.614750,0.756860,-2.120736,0.245432
1769687332.567573,-2.572948,0.942411,-2.026437,0.364367
1769687332.587964,-2.522709,1.067538,-1.928897,0.366382
1769687332.607874,-2.464415,1.194494,-1.828270,0.320018
1769687332.627593,-2.398069,1.422162,-1.724719,0.328081
1769687332.647555,-2.323285,1.569262,-1.618408,0.396624
1769687332.667732,-2.238913,1.755424,-1.509508,0.422829
1769687332.687686,-2.145721,1.919005,-1.398193,0.375454
1769687332.707931,-2.044092,2.145450,-1.284641,0.362351
1769687332.727867,-1.933642,2.243721,-1.169034,0.423837
1769687332.747754,-1.815905,2.420728,-1.051556,0.387552
1769687332.767728,-1.688581,2.625203,-0.932396,0.409726
1769687332.788039,-1.552436,2.747886,-0.811745,0.265590
1769687332.807943,-1.409771,2.974944,-0.689795,0.264582
1769687332.827801,-1.259436,3.090305,-0.566741,0.271638
1769687332.847801,-1.102582,3.209937,-0.442781,0.270630
1769687332.867765,-0.938058,3.371685,-0.318112,0.392592
1769687332.887830,-0.768164,3.465681,-0.192934,0.315986
1769687332.907650,-0.590601,3.588977,-0.067447,0.386541
1769687332.927639,-0.409969,3.679311,0.058147,0.208139
1769687332.947494,-0.225118,3.751945,0.183648,0.304899
1769687332.967772,-0.033748,3.820307,0.308856,0.349248
1769687332.987839,0.160305,3.883176,0.433569,0.316994
1769687333.007474,0.354360,3.989990,0.557589,0.306915
1769687333.027730,0.550716,3.979003,0.680717,0.251480
1769687333.047568,0.749756,3.973510,0.802755,0.225274
1769687333.067474,0.948029,3.979003,0.923510,0.197052
1769687333.087694,1.145151,3.931394,1.042786,0.175886
1769687333.107915,1.342274,3.902097,1.160395,0.128510
1769687333.127713,1.537095,3.845332,1.276147,0.036789
1769687333.147758,1.726548,3.765984,1.389858,0.076098
1769687333.167697,1.913316,3.687856,1.501344,0.167822
1769687333.187547,2.094715,3.578601,1.610429,0.110367
1769687333.207731,2.270360,3.424177,1.716938,0.050900
1769687333.227788,2.439871,3.366191,1.820699,0.058963
1769687333.247904,2.603245,3.096409,1.921548,0.157743
1769687333.267556,2.757031,3.023775,2.019323,0.138592
1769687333.287700,2.902380,2.852261,2.113866,0.166814
1769687333.307245,3.038909,2.681966,2.205028,0.059971
1769687333.327661,3.167001,2.482986,2.292663,-0.031749
1769687333.347678,3.286271,2.282784,2.376629,0.013607
1769687333.367760,3.396337,2.121646,2.456793,0.104320
1769687333.387618,3.495665,1.832941,2.533026,0.109359
1769687333.407722,3.586173,1.694388,2.605207,0.012599
1769687333.427835,3.666327,1.514938,2.673221,-0.069046
1769687333.447323,3.736891,1.307414,2.736957,0.030742
1769687333.467219,3.797868,1.068759,2.796314,0.122462
1769687333.487336,3.850409,0.973539,2.851198,0.134561
1769687333.507556,3.894896,0.819116,2.901520,0.096256
1769687333.527749,3.930562,0.629902,2.947201,-0.052916
1769687333.547724,3.957792,0.465713,2.988166,0.011591
1769687333.567760,3.976967,0.313730,3.024350,-0.057955
1769687333.587783,3.990772,0.250251,3.055696,0.085169
1769687333.607194,3.995758,-0.087893,3.082154,0.117423
1769687333.627210,3.992306,-0.111088,3.103680,-0.000504
1769687333.647542,3.985404,-0.115970,3.120241,-0.073078
1769687333.667489,3.978501,-0.152593,3.131810,-0.141616
1769687333.687570,3.975049,-0.033571,3.138368,-0.151695
1769687333.707776,3.975049,0.011597,3.139906,-0.105331
1769687333.727722,3.975816,0.044558,3.136420,-0.072070
1769687333.747782,3.976200,-0.026857,3.127916,-0.097268
1769687333.767383,3.976583,0.004883,3.114408,-0.051908
1769687333.787289,3.976200,-0.028688,3.095917,-0.088197
1769687333.807544,3.976200,0.004883,3.072474,-0.074086
1769687333.827459,3.976583,-0.028688,3.044114,-0.076101
1769687333.847472,3.976200,0.019531,3.010885,-0.105331
1769687333.868106,3.976200,-0.004883,2.972839,-0.094244
1769687333.887536,3.976200,-0.012817,2.930037,-0.130529
1769687333.907584,3.976200,0.028687,2.882546,-0.154719
1769687333.927768,3.975816,0.032959,2.830445,-0.171854
1769687333.947703,3.975816,-0.004272,2.773814,-0.195036
1769687333.967590,3.975433,0.004883,2.712747,-0.247448
1769687333.987679,3.974282,-0.051271,2.647339,-0.247448
